ticker,window_start,open,close,high,low,volume,transactions
QQQ,1772028900000000000,610.96,610.8599,610.98,610.83,14521.458782,221
QQQ,1772028960000000000,610.86,610.78,610.92,610.76,19365.359223,327
QQQ,1772029020000000000,610.76,610.64,610.81,610.6,18854.450876,261
QQQ,1772029080000000000,610.64,610.65,610.73,610.62,9158.768707,169
QQQ,1772029140000000000,610.66,610.58,610.72,610.36,56803.072266,711
QQQ,1772029200000000000,610.53,610.75,610.78,610.49,24219.237611,218
QQQ,1772029260000000000,610.73,610.78,610.8,610.72,3585.309574,82
QQQ,1772029320000000000,610.758,610.79,610.81,610.71,2651.499211,72
QQQ,1772029380000000000,610.79,610.89,610.9004,610.77,6836.865627,136
QQQ,1772029440000000000,610.88,610.86,610.9,610.85,2793.359966,74
QQQ,1772029500000000000,610.96,610.82,611.05,610.81,15698.43445,225
QQQ,1772029560000000000,610.74,610.83,610.84,610.701,3233.057498,131
QQQ,1772029620000000000,610.84,610.83,610.88,610.74,4872.860105,119
QQQ,1772029680000000000,610.88,611,611.1,610.76,36847.066613,288
QQQ,1772029740000000000,610.9,611.08,611.14,610.83,45633.294825,224
QQQ,1772029800000000000,611.07,612.33,612.5,611,733487.308388,10292
QQQ,1772029860000000000,612.31,612.63,612.79,612.31,400355.876471,4588
QQQ,1772029920000000000,612.62,612.31,612.77,612.3,247030.457225,3962
QQQ,1772029980000000000,612.31,612.75,612.79,612.26,214180.527582,3856
QQQ,1772030040000000000,612.755,612.561,613.08,612.47,235231.926912,4358
QQQ,1772030100000000000,612.55,612.7,613.02,612.44,468533.47126,6889
QQQ,1772030160000000000,612.69,613.09,613.15,612.52,265571.029823,4151
QQQ,1772030220000000000,613.1,612.81,613.17,612.81,244306.86363,3912
QQQ,1772030280000000000,612.84,612.71,612.87,612.55,421455.767745,2881
QQQ,1772030340000000000,612.7093,613.13,613.319,612.64,291674.198624,3885
QQQ,1772030400000000000,613.12,613.395,613.57,612.84,266825.420711,3818
QQQ,1772030460000000000,613.41,613.3775,613.625,613.21,203237.915742,2777
QQQ,1772030520000000000,613.37,613.21,613.58,613.131,227014.849756,4239
QQQ,1772030580000000000,613.21,613.79,613.91,613.13,247688.794944,4845
QQQ,1772030640000000000,613.79,613.75,613.915,613.6112,160462.331759,3222
QQQ,1772030700000000000,613.75,614.4,614.5,613.73,477779.269318,8160
QQQ,1772030760000000000,614.39,614.68,614.72,614.19,298990.207566,5653
